d,e,t
1991-02-05,Roque Fernández,bcra
1991-04-01,Domingo Cavallo,econ
1995-08-08,Carlos Saúl Menem,pres
1996-08-05,Pedro Pou,bcra
1996-08-06,Roque Fernández,econ
1999-12-10,José Luis Machinea,econ
1999-12-10,Fernando De la Rúa,pres
2001-03-05,Ricardo López Murphy,econ
2001-03-20,Domingo Cavallo,econ
2001-04-25,Roque Maccarone,bcra
2001-12-03,Corralito,misc
2001-12-21,Jorge Capitanich,econ
2001-12-21,Ramón Puerta,pres
2001-12-23,Rodolfo Frigeri,fina
2001-12-23,Adolfo Rodríguez Saá,pres
2002-01-02,Eduardo Duhalde,pres
2002-01-03,Jorge Remes Lenicov,econ
2002-01-06,Fin de la Convertibilidad,misc
2002-01-21,Mario Blejer,bcra
2002-04-27,Roberto Lavagna,econ
2002-07-01,Aldo Pignanelli,bcra
2002-12-02,Fin del Corralito,misc
2002-12-11,Alfonso Prat-Gay,bcra
2002-12-11,Alfonso Prat-Gay,bcra
2003-05-25,Néstor Kirchner,pres
2004-09-24,Hernán Martín Pérez Redrado,bcra
2005-11-28,Felisa Miceli,econ
2007-01-16,Intervención del INDEC,misc
2007-07-17,Miguel Peirano,econ
2007-12-10,Martín Lousteau,econ
2007-12-10,Cristina Fernández de Kirchner,pres
2008-04-25,Carlos Fernández,econ
2009-07-08,Amado Boudou,econ
2010-02-03,Mercedes Marcó Del Pont,bcra
2011-12-10,Hernán Lorenzino,econ
2011-12-10,Cristina Fernández de Kirchner,pres
2012-08-13,Cepo al Dolar,misc
2013-11-18,Juan Carlos Fábrega,bcra
2013-11-18,Axel Kicillof,econ
2014-10-01,Alejandro Vanoli,bcra
2015-12-10,Federico Sturzenegger,bcra
2015-12-10,Alfonso Prat-Gay,fina
2015-12-10,Mauricio Macri,pres
2015-12-17,Levantamiento del Cepo al Dolar,misc
2017-01-10,Luis Caputo,fina
2017-01-10,Nicolas Dujovne,trea
2018-06-14,Luis Caputo,bcra
2018-09-25,Guido Sandleris,bcra
2019-07-01,Hernán Lacunza,trea
2019-09-01,Cepo al Dollar,misc
2019-12-10,Miguel Ángel Pesce,bcra
2019-12-10,Martín Guzmán,econ
2019-12-10,Alberto Fernández,pres
2022-07-04,Silvina Batakis,econ
2022-07-28,Sergio Massa,econ
